user_id,friends
--UOvCH5qEgdNQ8lzR8QYQ,"['FFFeLM5rk29RZn6FmGlHYQ', 'QPJJohtGqkMkaN0Gt3TRIg']"
-05T0q5BxB9g0RCKiGYoyQ,['V7uS5US4oTf-S9u36HJQCQ']
-0HhZbPBlB1YZx3BhAfaEA,"['40m0541Z_KexYkdvvqHJIQ', '4fE37HSVJitQlI78K8uM1A', '9xmyNDEyjyJfEcrj1wncvA', 'D43OWyfzIQjL8feJpYh2SQ', 'Sv48jgljDP-CRfXmU8uSgA', 'TgW-w80-ketnwdUsjsAaNw', 'l_yEb3Q-q7C5Eq1HReCrzw', 'uG35h72BAMutvXAWdRpqCQ']"
-1ZMRA0N01rqZL0TWk3fgA,['no2kFt4TEEzZDVaM8haSDA']
-1x8gXJnrI-FeZPNvnfbRg,['Ryxj0u0AW3mRsRypdYli2A']
-267Yx8RmdP6io2-qI4UcQ,"['3Qv2rjPXC2eNKyV5lh3J_g', 'A5A34ixb-yy6nwL42iZsnw', 'E3pXvQwKsPBQGQ7RkLrN3g', 'IyIsFkVY48JWa01inv-7zA', 'TOrRfYRFuxx0k9HH7OC6pQ', 'Wbf8pEcvJFUbIbi4KU5_DQ', 'deL6e_z9xqZTIODKqnvRXQ', 'h9RUaaHa5kcQKqtJ-sgS0Q', 'i_DR3vdE73nVm2GlMbGpGA', 'jtM-lajwSwW65wJRaMuFxg', 'kzRq4H_nSf4b3F_sdymWSw', 'qewG3X2O4X6JKskxyyqFwQ', 'uG35h72BAMutvXAWdRpqCQ', 'wnO99pBbGqwqOoTQM25iCw']"
-2CgKa8YdvPzPB16XSA8Fg,['pjrpGQtM2Au3hJfypEWA0g']
-2OB54nQ6FsGLUM-R1KXnA,"['E8w6O_CXuluNeo4K1JMIbQ', 'Lfv4hefW1VbvaC2gatTFWA', 'cCke3VtFLtqgzkgYSrSE2g', 'cKeMks0yFeItSlkUKnZW0w', 'fFPc6xeOebK1ns8qYuUfew', 'lmEUPIf1nHb0opydm6Rsug', 'xhVlmdU1sPVH6GBJw6AZtQ']"
-3fMaL_ck0wzEsTZyz-mqA,"['cMEtAiW60I5wE_vLfTxoJQ', 'lf1m4CbheuUR7fFZoLGRvA', 'mvK1pv-x0Z5rP4Hz9cWBWw']"
-5BaVHOAvLrc3u9VNj41-Q,['hMO1DPfuRiRPhHEBPpfl0Q']
